InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
551876,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2011-05-05,0.85,14867.0,United Kingdom
548554,85132C,CHARLIE AND LOLA FIGURES TINS,12,2011-04-01,1.95,13694.0,United Kingdom
552231,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-05-06,1.25,17364.0,United Kingdom
556926,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,2011-06-15,1.65,16324.0,United Kingdom
564818,22378,WALL TIDY RETROSPOT ,1,2011-08-30,4.13,,United Kingdom
575037,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,20,2011-11-08,0.29,16066.0,United Kingdom
577690,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,1,2011-11-21,2.95,12856.0,United Kingdom
566733,22826,LOVE SEAT ANTIQUE WHITE METAL,1,2011-09-14,85.0,15103.0,United Kingdom
548196,22766,PHOTO FRAME CORNICE,4,2011-03-29,2.95,16011.0,United Kingdom
561511,22287,DECORATION WOBBLY CHICKEN,24,2011-07-27,0.39,15624.0,United Kingdom
541133,15056n,EDWARDIAN PARASOL NATURAL,1,2011-01-14,12.46,,United Kingdom
547066,21244,BLUE POLKADOT PLATE ,8,2011-03-20,1.69,12921.0,United Kingdom
572284,22382,LUNCH BAG SPACEBOY DESIGN ,6,2011-10-23,1.65,16744.0,United Kingdom
563917,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,3,2011-08-21,0.85,14572.0,United Kingdom
545340,22619,SET OF 6 SOLDIER SKITTLES,4,2011-03-02,3.75,15416.0,United Kingdom
573548,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-10-31,4.25,13680.0,United Kingdom
574474,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,1,2011-11-04,2.95,17979.0,United Kingdom
538851,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2010-12-14,2.95,16556.0,United Kingdom
562460,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-08-05,3.29,17841.0,United Kingdom
551005,23177,TREASURE ISLAND BOOK BOX,1,2011-04-26,4.58,,United Kingdom
539735,21916,SET 12 RETRO WHITE CHALK STICKS,1,2010-12-21,0.81,,United Kingdom
569230,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,2011-10-02,2.95,16533.0,United Kingdom
540992,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-01-12,1.25,17364.0,United Kingdom
579672,20749,ASSORTED COLOUR MINI CASES,12,2011-11-30,6.35,14005.0,United Kingdom
563037,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-08-11,2.55,12362.0,Belgium
575508,22962,JAM JAR WITH PINK LID,48,2011-11-10,0.72,14646.0,Netherlands
566290,21984,PACK OF 12 PINK PAISLEY TISSUES ,1,2011-09-11,0.39,14456.0,United Kingdom
581405,84991,60 TEATIME FAIRY CAKE CASES,1,2011-12-08,0.55,13521.0,United Kingdom
578420,48194,DOORMAT HEARTS,2,2011-11-24,8.25,16326.0,United Kingdom
537216,22357,KINGS CHOICE BISCUIT TIN,4,2010-12-05,4.25,15502.0,United Kingdom
571741,85099B,JUMBO BAG RED RETROSPOT,10,2011-10-19,2.08,15610.0,United Kingdom
C554847,23298,SPOTTY BUNTING,-3,2011-05-26,4.95,12909.0,United Kingdom
550280,22677,FRENCH BLUE METAL DOOR SIGN 2,1,2011-04-15,1.25,13048.0,United Kingdom
540275,20728,LUNCH BAG CARS BLUE,30,2011-01-06,1.65,13680.0,United Kingdom
548894,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-04-04,10.79,,United Kingdom
574722,23453,OVAL  MINI PORTRAIT FRAME,2,2011-11-06,1.95,14502.0,United Kingdom
575739,35953,FOLKART STAR CHRISTMAS DECORATIONS,4,2011-11-11,0.61,,United Kingdom
567211,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-09-19,1.25,14159.0,United Kingdom
541516,21881,CUTE CATS TAPE,3,2011-01-18,0.42,,United Kingdom
564302,35970,ZINC FOLKART SLEIGH BELLS,12,2011-08-24,1.69,15932.0,United Kingdom
546389,48194,DOORMAT HEARTS,2,2011-03-11,7.95,16801.0,United Kingdom
569720,23365,SET 12 COLOUR PENCILS LOVE LONDON,1,2011-10-06,0.65,14646.0,Netherlands
562427,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-08-04,7.95,17267.0,United Kingdom
553890,22166,WALL MIRROR RECTANGLE DIAMANTE PINK,1,2011-05-19,7.46,,United Kingdom
575216,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,2011-11-09,1.95,13384.0,United Kingdom
557319,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2011-06-20,1.65,15076.0,United Kingdom
572549,15056N,EDWARDIAN PARASOL NATURAL,1,2011-10-24,12.46,,United Kingdom
551138,22719,GUMBALL MONOCHROME COAT RACK,36,2011-04-26,1.06,17061.0,United Kingdom
540992,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,2011-01-12,0.65,17364.0,United Kingdom
552514,84913A,SOFT PINK ROSE TOWEL ,2,2011-05-09,3.29,,United Kingdom
538509,22437,SET OF 9 BLACK SKULL BALLOONS,12,2010-12-12,0.85,14413.0,United Kingdom
565386,22174,PHOTO CUBE,6,2011-09-02,1.65,17997.0,United Kingdom
550255,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,2011-04-15,1.49,13468.0,United Kingdom
559039,21989,PACK OF 20 SKULL PAPER NAPKINS,1,2011-07-05,1.63,,United Kingdom
581266,17003,BROCADE RING PURSE ,72,2011-12-08,0.39,12621.0,Germany
537666,22335,HEART DECORATION PAINTED ZINC ,2,2010-12-07,1.28,,United Kingdom
543836,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-02-14,2.1,15236.0,United Kingdom
537851,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,72,2010-12-08,1.25,13758.0,United Kingdom
558196,22120,WELCOME  WOODEN BLOCK LETTERS,1,2011-06-27,9.95,16033.0,United Kingdom
539262,37342,POLKADOT COFFEE CUP & SAUCER PINK,24,2010-12-16,0.85,15789.0,United Kingdom
546406,22366,DOORMAT AIRMAIL ,1,2011-03-11,15.79,,United Kingdom
553547,22431,WATERING CAN BLUE ELEPHANT,12,2011-05-17,1.95,12474.0,Germany
575073,22750,FELTCRAFT PRINCESS LOLA DOLL,3,2011-11-08,3.75,13975.0,United Kingdom
576339,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,5,2011-11-14,1.25,14096.0,United Kingdom
555896,22629,SPACEBOY LUNCH BOX ,6,2011-06-07,1.95,15640.0,United Kingdom
569372,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-10-03,7.46,,United Kingdom
571246,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,10,2011-10-14,0.39,17750.0,United Kingdom
566872,22383,LUNCH BAG SUKI DESIGN ,10,2011-09-15,1.65,16729.0,United Kingdom
575989,22082,RIBBON REEL STRIPES DESIGN ,2,2011-11-13,1.65,14698.0,United Kingdom
C579935,71477,COLOURED GLASS STAR T-LIGHT HOLDER,-6,2011-12-01,3.95,14188.0,United Kingdom
565236,23250,VINTAGE RED TRIM ENAMEL BOWL ,12,2011-09-02,1.25,14276.0,United Kingdom
558933,22992,REVOLVER WOODEN RULER ,24,2011-07-05,1.95,16098.0,United Kingdom
560773,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,3,2011-07-20,0.83,,United Kingdom
563184,84522,PINK PARTY SUNGLASSES,1,2011-08-12,1.95,17516.0,United Kingdom
545045,22241,GARLAND WOODEN HAPPY EASTER,3,2011-02-27,1.25,15708.0,United Kingdom
551991,90175C,BLUE GLASS CHUNKY CHARM BRACELET,1,2011-05-05,8.95,14697.0,United Kingdom
547658,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2011-03-24,2.95,13736.0,United Kingdom
575930,23225,CHERUB HEART DECORATION SILVER ,5,2011-11-11,1.63,,United Kingdom
568312,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2011-09-26,1.45,18241.0,United Kingdom
577768,23551,PACK OF 12 PAISLEY PARK TISSUES ,2,2011-11-21,0.83,,United Kingdom
539437,21819,GLITTER CHRISTMAS STAR ,3,2010-12-17,1.66,,United Kingdom
560555,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-07-19,2.95,14178.0,United Kingdom
536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02,1.06,16754.0,United Kingdom
546007,47559B,TEA TIME OVEN GLOVE,2,2011-03-08,2.46,,United Kingdom
541564,20685,DOORMAT RED RETROSPOT,1,2011-01-19,7.95,16904.0,United Kingdom
576834,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-11-16,0.83,13458.0,United Kingdom
566075,47578A,ENGLISH ROSE SMALL SCENTED FLOWER,10,2011-09-09,0.85,16173.0,United Kingdom
544316,22427,ENAMEL FLOWER JUG CREAM,3,2011-02-17,5.95,16556.0,United Kingdom
568135,84997B,CHILDRENS CUTLERY RETROSPOT RED ,3,2011-09-23,8.29,,United Kingdom
553549,22678,FRENCH BLUE METAL DOOR SIGN 3,2,2011-05-17,2.46,,United Kingdom
537861,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-08,4.95,16596.0,United Kingdom
547967,21937,STRAWBERRY   PICNIC BAG,1,2011-03-28,5.79,,United Kingdom
C556869,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,-4,2011-06-15,3.29,13199.0,United Kingdom
545475,22714,CARD BIRTHDAY COWBOY,144,2011-03-03,0.36,12415.0,Australia
544204,85099B,JUMBO BAG RED RETROSPOT,1,2011-02-17,4.13,,United Kingdom
552658,84563A,PINK & WHITE BREAKFAST TRAY,1,2011-05-10,2.95,14534.0,United Kingdom
554065,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-05-22,1.45,18287.0,United Kingdom
574670,22219,LOVEBIRD HANGING DECORATION WHITE ,4,2011-11-06,0.85,12838.0,United Kingdom
571697,23346,SPACEBOY BEAKER,12,2011-10-18,1.25,12759.0,Netherlands
548514,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-03-31,4.96,,United Kingdom
581492,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2011-12-09,4.13,,United Kingdom
546950,22500,SET OF 2 TINS JARDIN DE PROVENCE,1,2011-03-18,4.95,16511.0,United Kingdom
571433,23174,REGENCY SUGAR BOWL GREEN,4,2011-10-17,4.15,13015.0,United Kingdom
536805,20974,12 PENCILS SMALL TUBE SKULL,24,2010-12-02,0.65,14775.0,United Kingdom
564855,22161,HEART DECORATION RUSTIC HANGING ,24,2011-08-31,0.19,16746.0,United Kingdom
558861,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-04,12.75,13373.0,United Kingdom
573359,23377,PACK OF 12 DOLLY GIRL TISSUES,4,2011-10-30,0.39,14178.0,United Kingdom
540646,84916,HAND TOWEL PALE BLUE W FLOWERS,1,2011-01-10,4.21,,United Kingdom
541792,22521,CHILDS GARDEN TROWEL PINK,12,2011-01-21,0.85,17094.0,United Kingdom
566194,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,2011-09-09,6.75,14711.0,United Kingdom
540467,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-01-07,2.95,18198.0,United Kingdom
574624,23358,HOT STUFF HOT WATER BOTTLE,3,2011-11-06,3.75,17769.0,United Kingdom
564656,10135,COLOURING PENCILS BROWN TUBE,10,2011-08-26,1.25,14141.0,United Kingdom
575698,22573,STAR WOODEN CHRISTMAS DECORATION,12,2011-11-10,0.85,16094.0,United Kingdom
565243,23201,JUMBO BAG ALPHABET,10,2011-09-02,2.08,16735.0,United Kingdom
546115,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,2011-03-09,1.95,15379.0,United Kingdom
536551,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,2010-12-01,1.65,17346.0,United Kingdom
550957,20728,LUNCH BAG CARS BLUE,2,2011-04-21,1.65,18283.0,United Kingdom
577473,21993,FLORAL FOLK STATIONERY SET,1,2011-11-20,1.25,15919.0,United Kingdom
540023,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2,2011-01-04,3.75,15039.0,United Kingdom
557500,20719,WOODLAND CHARLOTTE BAG,2,2011-06-20,1.63,,United Kingdom
572650,20727,LUNCH BAG  BLACK SKULL.,2,2011-10-25,1.65,15506.0,United Kingdom
579508,22961,JAM MAKING SET PRINTED,9,2011-11-29,3.29,,United Kingdom
546031,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-03-09,1.25,13267.0,United Kingdom
545333,21871,SAVE THE PLANET MUG,1,2011-03-01,3.29,,United Kingdom
563165,23346,SPACEBOY BEAKER,200,2011-08-12,1.08,14646.0,Netherlands
546976,22195,LARGE HEART MEASURING SPOONS,1,2011-03-18,3.29,,United Kingdom
558475,21619,4 VANILLA BOTANICAL CANDLES,2,2011-06-29,2.46,,United Kingdom
559465,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,72,2011-07-08,3.75,14680.0,United Kingdom
577633,79321,CHILLI LIGHTS,4,2011-11-21,5.75,14194.0,United Kingdom
576236,23339,EGG FRYING PAN BLUE ,1,2011-11-14,2.08,13755.0,United Kingdom
544434,22299,PIG KEYRING WITH LIGHT & SOUND ,2,2011-02-18,2.46,,United Kingdom
570600,22138,BAKING SET 9 PIECE RETROSPOT ,12,2011-10-11,4.95,16076.0,United Kingdom
576830,23494,VINTAGE DOILY DELUXE SEWING KIT ,1,2011-11-16,5.95,14898.0,United Kingdom
568567,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,1,2011-09-27,1.63,,United Kingdom
575607,22550,HOLIDAY FUN LUDO,1,2011-11-10,7.46,14096.0,United Kingdom
C579970,22840,ROUND CAKE TIN VINTAGE RED,-2,2011-12-01,7.95,14388.0,United Kingdom
576840,23322,LARGE WHITE HEART OF WICKER,1,2011-11-16,5.79,,United Kingdom
569223,21504,SKULLS GREETING CARD,12,2011-10-02,0.42,16283.0,United Kingdom
C569851,22384,LUNCH BAG PINK POLKADOT,-1,2011-10-06,1.45,17511.0,United Kingdom
561029,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-07-24,0.85,12490.0,France
572292,22479,DAISY GARDEN MARKER,10,2011-10-23,1.25,16017.0,United Kingdom
572295,22991,GIRAFFE WOODEN RULER,2,2011-10-23,1.95,16686.0,United Kingdom
581217,23354,6 GIFT TAGS 50'S CHRISTMAS ,1,2011-12-08,1.63,,United Kingdom
579619,21174,POTTERING IN THE SHED METAL SIGN,12,2011-11-30,2.08,18241.0,United Kingdom
543201,22621,TRADITIONAL KNITTING NANCY,1,2011-02-04,2.92,,United Kingdom
538183,21949,SET OF 6 STRAWBERRY CHOPSTICKS,12,2010-12-10,1.25,16265.0,United Kingdom
547663,22498,WOODEN REGATTA BUNTING,2,2011-03-24,5.95,16022.0,United Kingdom
564733,20725,LUNCH BAG RED RETROSPOT,2,2011-08-28,1.65,17841.0,United Kingdom
574315,21232,STRAWBERRY CERAMIC TRINKET POT,72,2011-11-03,1.06,17076.0,United Kingdom
559092,21539,RED RETROSPOT BUTTER DISH,6,2011-07-06,4.95,16829.0,United Kingdom
579909,23109,PACK OF SIX LED TEA LIGHTS,1,2011-12-01,2.89,,United Kingdom
543805,22652,TRAVEL SEWING KIT,6,2011-02-13,1.65,17050.0,United Kingdom
564760,23124,18PC WOODEN CUTLERY SET DISPOSABLE,1,2011-08-30,2.46,,United Kingdom
565234,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-09-02,6.95,,United Kingdom
578846,22633,HAND WARMER UNION JACK,3,2011-11-25,2.1,17757.0,United Kingdom
570796,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-10-12,2.95,16241.0,United Kingdom
545475,22382,LUNCH BAG SPACEBOY DESIGN ,100,2011-03-03,1.45,12415.0,Australia
569215,22339,CHRISTMAS TREE PAINTED ZINC ,20,2011-10-02,0.19,13571.0,United Kingdom
572549,22090,PAPER BUNTING RETROSPOT,5,2011-10-24,5.79,,United Kingdom
573897,22599,CHRISTMAS MUSICAL ZINC STAR,30,2011-11-01,0.29,16729.0,United Kingdom
565836,23208,LUNCH BAG VINTAGE LEAF DESIGN,100,2011-09-07,1.45,17511.0,United Kingdom
C547905,M,Manual,-1,2011-03-28,416.75,,United Kingdom
560567,21671,RED SPOT CERAMIC DRAWER KNOB,2,2011-07-19,3.29,,United Kingdom
579301,21159,MOODY BOY  DOOR HANGER ,2,2011-11-29,0.39,18118.0,United Kingdom
551996,22077,6 RIBBONS RUSTIC CHARM,12,2011-05-05,1.65,16628.0,United Kingdom
545695,22979,PANTRY WASHING UP BRUSH,8,2011-03-06,1.45,17050.0,United Kingdom
556063,22384,LUNCH BAG PINK POLKADOT,2,2011-06-08,1.65,14587.0,United Kingdom
548542,22358,KINGS CHOICE TEA CADDY ,6,2011-03-31,2.95,13918.0,United Kingdom
549023,84978,HANGING HEART JAR T-LIGHT HOLDER,6,2011-04-05,2.46,,United Kingdom
556636,71143,SILVER BOOK MARK WITH BEADS,2,2011-06-13,0.83,,United Kingdom
562619,15056N,EDWARDIAN PARASOL NATURAL,2,2011-08-08,5.95,15311.0,United Kingdom
544297,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,2011-02-17,1.95,14298.0,United Kingdom
556245,20963,APPLE BATH SPONGE,1,2011-06-09,1.25,17841.0,United Kingdom
570516,21507,ELEPHANT BIRTHDAY CARD ,12,2011-10-11,0.42,14121.0,United Kingdom
536592,85132A,CHARLIE + LOLA BISCUITS TINS,1,2010-12-01,8.47,,United Kingdom
580705,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,12,2011-12-05,3.25,12683.0,France
575647,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-11-10,4.25,16440.0,United Kingdom
546105,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-03-09,1.65,14662.0,United Kingdom
569496,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-10-04,3.75,12395.0,Belgium
548212,22534,MAGIC DRAWING SLATE SPACEBOY ,24,2011-03-30,0.42,12456.0,Switzerland
580727,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-12-05,5.79,14096.0,United Kingdom
551468,85061W,WHITE JEWELLED HEART DECORATION,6,2011-04-28,1.63,,United Kingdom
540026,22322,BIRD DECORATION GREEN POLKADOT,11,2011-01-04,0.81,,United Kingdom
552186,21666,RIDGED GLASS T-LIGHT HOLDER,24,2011-05-06,0.65,12921.0,United Kingdom
565565,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1,2011-09-05,1.65,14534.0,United Kingdom
558194,21086,SET/6 RED SPOTTY PAPER CUPS,3,2011-06-27,0.65,14583.0,United Kingdom
555560,22659,LUNCH BOX I LOVE LONDON,1,2011-06-05,1.95,17346.0,United Kingdom
548698,22501,PICNIC BASKET WICKER LARGE,1,2011-04-03,9.95,18109.0,United Kingdom
568400,23400,SHELF WITH 4 HOOKS HOME SWEET HOME,2,2011-09-27,6.25,13644.0,United Kingdom
537643,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2010-12-07,16.98,,United Kingdom
550474,22984,CARD GINGHAM ROSE ,1,2011-04-18,0.83,,United Kingdom
548308,21086,SET/6 RED SPOTTY PAPER CUPS,1,2011-03-30,0.65,17220.0,United Kingdom
576371,22340,NOEL GARLAND PAINTED ZINC ,24,2011-11-15,0.39,14911.0,EIRE
C551018,20719,WOODLAND CHARLOTTE BAG,-1,2011-04-26,0.85,12705.0,Germany
543040,21498,RED RETROSPOT WRAP ,25,2011-02-02,0.42,17337.0,United Kingdom
573484,21802,CHRISTMAS TREE HEART DECORATION,36,2011-10-31,0.42,14883.0,United Kingdom
546133,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2011-03-09,2.1,14291.0,United Kingdom
570024,82583,HOT BATHS METAL SIGN,12,2011-10-07,2.1,17975.0,United Kingdom
543467,DOT,DOTCOM POSTAGE,1,2011-02-08,234.92,,United Kingdom
573585,22639,SET OF 4 NAPKIN CHARMS HEARTS,2,2011-10-31,4.96,,United Kingdom
541251,22469,HEART OF WICKER SMALL,5,2011-01-16,1.65,15046.0,United Kingdom
566294,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,2011-09-11,1.65,15533.0,United Kingdom
548858,22087,PAPER BUNTING WHITE LACE,6,2011-04-04,2.95,14911.0,EIRE
C542060,20725,LUNCH BAG RED RETROSPOT,-2,2011-01-25,1.45,14680.0,United Kingdom
537395,21733,RED HANGING HEART T-LIGHT HOLDER,2,2010-12-06,2.95,15356.0,United Kingdom
555150,21900,"KEY FOB , SHED",1,2011-05-31,1.63,,United Kingdom
567943,23393,HOME SWEET HOME CUSHION COVER ,3,2011-09-22,3.75,14702.0,United Kingdom
541274,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2011-01-17,3.75,15696.0,United Kingdom
568721,22067,CHOC TRUFFLE GOLD TRINKET POT ,1,2011-09-28,3.29,,United Kingdom
552461,22087,PAPER BUNTING WHITE LACE,12,2011-05-09,2.95,17723.0,United Kingdom
547788,22501,PICNIC BASKET WICKER LARGE,1,2011-03-25,20.79,,United Kingdom
558475,15058B,PINK POLKADOT GARDEN PARASOL,2,2011-06-29,10.79,,United Kingdom
